IL%,LCD (Å)-C,PLD (Å)-C,LCD/PLD,Density (g/cm3)-C,Porosity-C,PV (cm3/g)-C,C%-C,H%-C,N%-C,O%-C,Metal%-C,Halogen%-C,Metalloids%-C,Ametal%-C,TDU-C,DU-C,MP-C,OtoM-C,CO2 Qst ,CO2 Uptake (mol/kg)-C-1 bar-Single
10.41,10.54227,9.06816,1.16255888735973,0.496957,0.79276,1.59523,55.1282051282051,9.61538461538462,15.3846153846154,12.8205128205128,3.84615384615385,2.56410256410256,0.641025641025641,0,629,0.914244186046512,0.0697674418604651,3.33333333333333,18.1208730113,1.2161027449
0.95,19.57231,7.55702,2.58995080071245,0.403348,0.80894,2.00557,87.0779976717113,0.873108265424913,0.116414435389988,7.45052386495925,1.39697322467986,0.232828870779977,0.0582072176949942,2.79394644935972,1489.5,0.995655080213904,0.0160427807486631,5.33333333333333,11.9410683253,0.8536720005
2.57,18.2804,9.88931,1.84850105821336,0.511529,0.84046,1.64303,52.8301886792453,27.8975741239892,0.269541778975741,14.0161725067385,4.31266846361186,0.539083557951483,0.134770889487871,0,289.5,0.738520408163265,0.0816326530612245,3.25,14.0485768453,1.8722647368
2.66,11.94829,9.49851,1.25791203041319,0.894009,0.60096,0.672208,46.7091295116773,38.1104033970276,12.1019108280255,0.849256900212314,1.69851380042463,0.424628450106157,0.106157112526539,0,522,0.593181818181818,0.0363636363636364,0.5,21.3597916478,1.1492674674
5.26,8.3612,7.81351,1.07009525808503,0.943722,0.57964,0.614207,46.8619246861925,38.2845188284519,12.1338912133891,0,1.67364016736402,0.836820083682008,0.209205020920502,0,398.5,0.593005952380952,0.0357142857142857,0,29.4359349599,1.5812680203
0.37,17.72431,10.41944,1.70108086423071,0.87836,0.67948,0.773578,47.1493529206016,43.9139559286464,0.0349772647778944,7.13536201469045,1.67890870933893,0.0699545295557887,0.0174886323889472,0,1441.5,0.534681008902077,0.0356083086053412,4.25,23.5955288071,1.2739131489
10.88,6.48039,3.54922,1.82586314739577,1.35458,0.4809,0.355017,41.2371134020619,36.5979381443299,9.27835051546392,8.24742268041237,2.06185567010309,2.06185567010309,0.515463917525773,0,713,0.55703125,0.05,4,31.7401396015,1.5550126947
6.97,9.93787,6.75566,1.47104353978738,0.664667,0.8228,1.23791,30.7692307692308,21.4285714285714,14.2857142857143,17.5824175824176,13.1868131868132,2.1978021978022,0.549450549450549,0,293,0.654017857142857,0.428571428571429,1.33333333333333,12.9486869407,0.6389208139
5.86,10.48855,6.50273,1.61294563975438,0.489812,0.8376,1.71005,43.9393939393939,19.3181818181818,0.757575757575758,27.2727272727273,6.81818181818182,1.51515151515152,0.378787878787879,0,363,0.782327586206897,0.155172413793103,4,16.2764950158,1.8278885192
4.78,10.87798,8.5561,1.27137130234569,0.73731,0.68106,0.923709,45.8077709611452,32.5153374233129,18.8139059304703,0,1.84049079754601,0.81799591002045,0.204498977505113,0,434.5,0.646577380952381,0.0401785714285714,0,19.6731335993,3.3075650771
4.78,10.82034,8.62627,1.25434747579197,0.717267,0.68812,0.959363,45.8077709611452,32.5153374233129,18.8139059304703,0,1.84049079754601,0.81799591002045,0.204498977505113,0,290,0.647321428571429,0.0401785714285714,0,19.4095177242,3.1166129955
20.17,7.44543,5.5762,1.33521573831642,1.01929,0.63256,0.620587,21.6216216216216,20.2702702702703,45.945945945946,0,5.40540540540541,5.40540540540541,1.35135135135135,0,171,0.534375,0.25,0,33.1886263497,5.5646797633
6.21,8.94367,5.30798,1.68494794629972,1.14267,0.58954,0.515931,37.6811594202899,27.1739130434783,2.89855072463768,23.9130434782609,6.52173913043478,1.44927536231884,0.36231884057971,0,799,0.640224358974359,0.173076923076923,3.66666666666667,23.0721814928,2.4346749046
9.3,7.30864,2.34307,3.11925806740729,1.10645,0.4964,0.448641,34.4370860927152,48.6754966887417,4.63576158940397,8.60927152317881,1.98675496688742,1.32450331125828,0.33112582781457,0,245,0.294471153846154,0.0576923076923077,4.33333333333333,30.8339821857,0.6146020781
4.78,8.06449,4.45213,1.81137792472367,1.04403,0.62192,0.595689,37.4384236453202,34.2364532019704,9.35960591133005,12.807881773399,4.92610837438424,0.985221674876847,0.246305418719212,0,331,0.544407894736842,0.131578947368421,2.6,26.1514016012,3.0303687425
1.15,14.41997,8.00045,1.80239486528883,0.715501,0.68476,0.957036,51.7403574788335,37.3941674506115,0.846660395108184,7.90216368767639,1.88146754468485,0.188146754468485,0.0470366886171214,0,1406,0.639090909090909,0.0363636363636364,4.2,18.1245795176,1.5556312695
2.63,10.94156,9.81691,1.11456252527526,0.753544,0.65558,0.869996,45.2525252525253,41.1111111111111,2.62626262626263,8.88888888888889,1.61616161616162,0.404040404040404,0.101010101010101,0,490,0.546875,0.0357142857142857,5.5,21.3872233699,2.0695692443
15.71,8.90754,6.80027,1.30988034298638,0.72797,0.69746,0.958089,43.0769230769231,30,4.61538461538462,15.3846153846154,3.07692307692308,3.07692307692308,0.769230769230769,0,439,0.65327380952381,0.0714285714285714,5,21.8358374109,2.8405454939
11.4,7.02334,2.34963,2.98912594748961,1.90171,0.42048,0.221106,38.7096774193548,21.7741935483871,1.61290322580645,29.0322580645161,4.83870967741935,3.2258064516129,0.806451612903226,0,553,0.720052083333333,0.125,6,32.7577727505,1.6243065557
8.06,6.64722,2.1097,3.15078921173627,1.2599,0.45804,0.363552,34.3234323432343,40.5940594059406,8.58085808580858,11.8811881188119,0.99009900990099,3.3003300330033,0.33003300330033,0,341,0.409855769230769,0.0288461538461538,12,26.5224701965,0.9112238684
2.66,15.21239,13.05982,1.16482386434116,0.649378,0.71606,1.10269,53.72460496614,34.1986455981941,1.58013544018059,8.12641083521445,1.8058690744921,0.451467268623025,0.112866817155756,0,650,0.682773109243697,0.0336134453781513,4.5,15.0442621443,1.1952646556
5.31,9.09992,5.53193,1.64498104639791,1.12314,0.61284,0.545647,42.5531914893617,5.31914893617021,23.4042553191489,1.41843971631206,2.83687943262411,24.113475177305,0.354609929078014,0,451,0.939583333333333,0.0666666666666667,0.5,29.5504377978,4.22242019
4.43,7.89913,6.45621,1.22349334981359,1.13849,0.59298,0.520847,41.5300546448087,21.5846994535519,0.546448087431694,28.4153005464481,6.55737704918033,1.09289617486339,0.273224043715847,0,901,0.740953947368421,0.157894736842105,4.33333333333333,26.395322872,3.3073410796
1.44,6.71076,6.04654,1.10985125377489,1.49533,0.5236,0.350157,47.378640776699,33.3009708737864,10.2912621359223,1.55339805825243,2.33009708737864,5.04854368932039,0.0970873786407767,0,634,0.649590163934426,0.0491803278688525,0.666666666666667,21.8263616947,1.4755481354
6.88,13.61166,6.14739,2.21421774118772,0.604015,0.74754,1.23762,41.0958904109589,27.0547945205479,22.6027397260274,2.73972602739726,2.73972602739726,2.05479452054794,1.71232876712329,0,323,0.672916666666667,0.0666666666666667,1,14.3655821229,1.1169852943
3.45,8.29761,7.94447,1.04445104582181,0.896033,0.63878,0.712898,51.41065830721,32.4451410658307,2.82131661442006,10.0313479623824,2.50783699059561,0.626959247648903,0.156739811912226,0,899,0.685213414634146,0.0487804878048781,4,23.5593150479,2.6746574917
3.45,8.31402,7.94315,1.04669054468315,0.896033,0.63768,0.71167,51.41065830721,32.4451410658307,2.82131661442006,10.0313479623824,2.50783699059561,0.626959247648903,0.156739811912226,0,899,0.685213414634146,0.0487804878048781,4,22.0091028738,2.705105025
