LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
10.88001,10.50387,1.03580965872578,1.19375,0.58988081875,0.494141,53.1645569620253,27.8481012658228,0,15.1898734177215,3.79746835443038,0,0,0,993,0.738839285714286,0.0714285714285714,4,21.4932454721,1.8938284593
19.47946,13.26799,1.46815455845234,0.402001,0.82993910452,2.06452,54.180602006689,30.1003344481605,0,12.0401337792642,3.67892976588629,0,0,0,469,0.723765432098765,0.0679012345679012,3.27272727272727,15.9606900776,1.6975086836
9.61893,8.65143,1.11183122327754,0.750661,0.682900332852,0.909732,54,30,0,13,3,0,0,0,625,0.72337962962963,0.0555555555555556,4.33333333333333,19.5514406903,3.1442657291
12.67092,10.36798,1.22212041304092,1.21765,0.5317988963,0.436742,45.2380952380952,26.1904761904762,7.14285714285714,4.76190476190476,2.38095238095238,14.2857142857143,0,0,1459,0.711013645224172,0.0526315789473684,2,40.1383629616,1.7313393507
7.09824,6.80081,1.04373449633205,1.54349,0.47004055319,0.304531,42.8571428571429,33.3333333333333,3.17460317460317,7.93650793650794,1.58730158730159,9.52380952380952,0,1.58730158730159,793,0.611882716049383,0.037037037037037,5,31.4146987728,1.8748545665
13.37019,12.10117,1.1048675458654,0.621294,0.74563978116,1.20014,43.9024390243902,21.9512195121951,29.2682926829268,1.21951219512195,3.65853658536585,0,0,0,433,0.751736111111111,0.0833333333333333,0.333333333333333,27.6877453784,4.0342475408
32.02394,30.99549,1.03318063369864,0.533172,0.82506,1.54745560532061,49.4845360824742,24.7422680412371,4.12371134020619,16.4948453608247,4.12371134020619,1.03092783505155,0,0,433,0.751736111111111,0.0833333333333333,4,21.8804375736,1.3903908576
9.83528,9.74472,1.00929323777389,1.04465,0.5891993144,0.564016,34.4827586206897,41.3793103448276,6.89655172413793,13.7931034482759,3.44827586206897,0,0,0,289,0.401388888888889,0.1,4,13.4076536483,0.4987888214
9.64975,9.56872,1.00846821727462,1.05853,0.57722170165,0.545305,34.4827586206897,41.3793103448276,6.89655172413793,13.7931034482759,3.44827586206897,0,0,0,289,0.401388888888889,0.1,4,13.136613766,0.4662176762
10.20776,10.09526,1.01114384374449,1.01266,0.61301778164,0.605354,34.6153846153846,42.3076923076923,7.69230769230769,7.69230769230769,3.84615384615385,3.84615384615385,0,0,253,0.390432098765432,0.111111111111111,2,14.9542475162,0.6066602315
10.03669,9.94015,1.00971212708058,1.02149,0.60959765177,0.596773,34.6153846153846,42.3076923076923,7.69230769230769,7.69230769230769,3.84615384615385,3.84615384615385,0,0,253,0.390432098765432,0.111111111111111,2,14.856849546,0.5837780598
8.14408,8.04135,1.01277521809149,1.10994,0.55067786202,0.496133,35.4838709677419,41.9354838709677,6.45161290322581,12.9032258064516,3.2258064516129,0,0,0,325,0.410353535353535,0.0909090909090909,4,14.6420204203,0.3749881079
